
1926,99,98,77,70,1931,1926,
1926,31,93,82,29,1931,1926,
1926,22,48,56,76,1931,1926,
1926,6,85,12,74,1931,1926,
1926,81,94,96,28,1931,1926,
1931,95,57,49,30,1936,1931,
1931,78,69,15,75,1936,1931,
1931,65,52,1,64,1936,1931,
1931,83,97,19,8,1936,1931,
1931,79,20,89,92,1936,1931,
1936,25,63,5,27,1941,1936,
1936,72,71,90,55,1941,1936,
1936,44,59,23,4,1941,1936,
1936,66,42,40,9,1941,1936,
1936,61,13,84,32,1941,1936,
1941,38,80,35,43,1946,1941,
1941,17,68,58,3,1946,1941,
1941,91,86,37,7,1946,1941,
1941,87,62,34,16,1946,1941,
1941,88,60,11,33,1946,1941,
1946,67,41,47,14,1949,1946,
1946,46,26,50,10,1949,1946,
1946,36,73,24,51,1949,1946,
1946,18,54,2,45,1949,1946,
1946,53,21,39,100,1949,1946,
