
1890,47,41,82,10,1895,1890,
1890,99,45,48,34,1895,1890,
1890,29,56,50,46,1895,1890,
1890,52,26,43,3,1895,1890,
1890,28,1,25,59,1895,1890,
1895,16,67,51,24,1900,1895,
1895,18,87,68,62,1900,1895,
1895,14,2,36,73,1900,1895,
1895,31,21,39,54,1900,1895,
1895,11,60,32,40,1900,1895,
1900,58,7,91,17,1905,1900,
1900,35,38,80,27,1905,1900,
1900,66,42,4,23,1905,1900,
1900,37,86,84,9,1905,1900,
1900,33,88,13,55,1905,1900,
1905,5,63,64,72,1910,1905,
1905,44,90,8,71,1910,1905,
1905,92,89,97,83,1910,1905,
1905,61,19,20,96,1910,1905,
1905,30,69,94,57,1910,1905,
1910,95,78,81,74,1913,1910,
1910,65,76,93,22,1913,1910,
1910,49,75,15,79,1913,1910,
1910,12,85,6,70,1913,1910,
1910,77,53,98,100,1913,1910,
