
272,22,31,29,34,277,272,
272,24,36,35,26,277,272,
272,39,21,28,25,277,272,
272,38,40,23,27,277,272,
272,33,37,32,30,277,272,
277,46,48,50,56,282,277,
277,54,60,58,43,282,277,
277,52,57,49,44,282,277,
277,51,45,47,41,282,277,
277,53,55,59,42,282,277,
282,16,18,3,7,287,282,
282,17,9,4,5,287,282,
282,8,20,15,1,287,282,
282,2,14,6,10,287,282,
282,11,13,19,12,287,282,
287,93,85,81,95,292,287,
287,100,99,98,82,292,287,
287,92,89,97,83,292,287,
287,91,88,86,84,292,287,
287,87,90,96,94,292,287,
292,65,76,70,77,295,292,
292,64,63,80,66,295,292,
292,75,69,78,74,295,292,
292,62,68,73,67,295,292,
292,61,71,72,79,295,292,
