
16150,70,6,85,12,16155,16150,
16150,93,29,56,76,16155,16150,
16150,50,65,28,95,16155,16150,
16150,74,81,78,57,16155,16150,
16150,94,79,69,49,16155,16150,
16155,30,75,15,96,16160,16155,
16155,1,72,64,25,16160,16155,
16155,83,97,71,8,16160,16155,
16155,20,89,92,19,16160,16155,
16155,90,55,61,44,16160,16155,
16160,63,5,27,80,16165,16160,
16160,23,4,42,38,16165,16160,
16160,66,26,34,46,16165,16160,
16160,52,43,62,17,16165,16160,
16160,59,13,35,16,16165,16160,
16165,68,58,87,3,16170,16165,
16165,91,86,37,7,16170,16165,
16165,40,9,84,32,16170,16165,
16165,33,11,54,18,16170,16165,
16165,88,60,36,73,16170,16165,
16170,67,41,47,14,16173,16170,
16170,24,51,45,2,16173,16170,
16170,48,10,82,22,16173,16170,
16170,31,77,53,98,16173,16170,
16170,100,99,21,39,16173,16170,
