
1601646,100,99,98,77,1601651,1601646,
1601646,21,39,14,47,1601651,1601646,
1601646,53,70,31,93,1601651,1601646,
1601646,45,51,67,41,1601651,1601646,
1601646,2,22,10,82,1601651,1601646,
1601651,29,50,56,76,1601656,1601651,
1601651,6,85,12,74,1601656,1601651,
1601651,65,52,28,95,1601656,1601651,
1601651,48,34,26,57,1601656,1601651,
1601651,81,78,94,79,1601656,1601651,
1601656,30,49,75,15,1601661,1601656,
1601656,1,25,63,64,1601661,1601656,
1601656,83,97,72,71,1601661,1601656,
1601656,96,20,89,92,1601661,1601656,
1601656,69,8,19,90,1601661,1601656,
1601661,44,59,23,4,1601666,1601661,
1601661,5,27,80,35,1601666,1601661,
1601661,55,61,13,42,1601666,1601661,
1601661,66,43,38,32,1601666,1601661,
1601661,40,9,84,86,1601666,1601661,
1601666,17,68,58,3,1601669,1601666,
1601666,91,37,88,7,1601669,1601666,
1601666,62,46,16,24,1601669,1601666,
1601666,87,33,54,18,1601669,1601666,
1601666,60,11,36,73,1601669,1601666,
