,temp,current_dist,new_dist,best_dist,,Diff,t_0,c_r,n,t_f
109,200.515,1247.66,1247.66,1199.34,0,,,,,
110,198.51,1237.68,1237.68,1199.34,0,,,,,
111,196.525,1251.93,1251.93,1199.34,0,,,,,
112,194.56,1266.54,1266.54,1199.34,0,,,,,
113,192.614,1334.5,1334.5,1199.34,0,,,,,
114,190.688,1322.32,1322.32,1199.34,0,,,,,
115,188.781,1330.95,1330.95,1199.34,0,,,,,
116,186.893,1335.83,1335.83,1199.34,0,,,,,
117,185.025,1324.94,1324.94,1199.34,0,,,,,
118,183.174,1289.13,1289.13,1199.34,0,,,,,
119,181.343,1280.5,1280.5,1199.34,0,,,,,
120,179.529,1299.24,1299.24,1199.34,0,,,,,
121,177.734,1282.17,1282.17,1199.34,0,,,,,
122,175.956,1273.4,1273.4,1199.34,0,,,,,
123,174.197,1278.02,1278.02,1199.34,0,,,,,
124,172.455,1264.59,1264.59,1199.34,0,,,,,
125,170.73,1280.24,1280.24,1199.34,0,,,,,
126,169.023,1290.29,1290.29,1199.34,0,,,,,
127,167.333,1359.26,1359.26,1199.34,0,,,,,
128,165.66,1335.43,1335.43,1199.34,0,,,,,
129,164.003,1274.64,1274.64,1199.34,0,,,,,
130,162.363,1219.61,1219.61,1199.34,0,,,,,
131,160.739,1233.92,1233.92,1199.34,0,,,,,
132,159.132,1219.61,1219.61,1199.34,0,,,,,
133,157.541,1231.49,1231.49,1199.34,0,,,,,
134,155.965,1232.14,1232.14,1199.34,0,,,,,
135,154.406,1260.4,1260.4,1199.34,0,,,,,
136,152.861,1262.11,1262.11,1199.34,0,,,,,
137,151.333,1232.28,1232.28,1199.34,0,,,,,
138,149.82,1272.85,1272.85,1199.34,0,,,,,
139,148.321,1272.85,1303.86,1199.34,DIFF,,,,,
140,146.838,1250.21,1250.21,1199.34,0,,,,,
141,145.37,1220.35,1220.35,1199.34,0,,,,,
142,143.916,1227.38,1227.38,1199.34,0,,,,,
143,142.477,1262.19,1262.19,1199.34,0,,,,,
144,141.052,1305.29,1305.29,1199.34,0,,,,,
145,139.642,1304.34,1304.34,1199.34,0,,,,,
146,138.245,1311.13,1311.13,1199.34,0,,,,,
147,136.863,1263.58,1263.58,1199.34,0,,,,,
148,135.494,1272.89,1272.89,1199.34,0,,,,,
149,134.139,1296.71,1296.71,1199.34,0,,,,,
150,132.798,1296.71,1304.24,1199.34,DIFF,,,,,
151,131.47,1310.03,1310.03,1199.34,0,,,,,
152,130.155,1329.68,1329.68,1199.34,0,,,,,
153,128.854,1296.07,1296.07,1199.34,0,,,,,
154,127.565,1307.94,1307.94,1199.34,0,,,,,
155,126.289,1359,1359,1199.34,0,,,,,
156,125.026,1359.69,1359.69,1199.34,0,,,,,
157,123.776,1363.22,1363.22,1199.34,0,,,,,
158,122.538,1365.85,1365.85,1199.34,0,,,,,
159,121.313,1290.38,1290.38,1199.34,0,,,,,
