
1866,100,99,98,77,1871,1866,
1866,53,31,93,29,1871,1866,
1866,22,82,10,50,1871,1866,
1866,51,48,56,6,1871,1866,
1866,85,12,57,1,1871,1866,
1871,95,81,78,49,1876,1871,
1871,75,15,96,20,1876,1871,
1871,83,90,44,64,1876,1871,
1871,94,79,69,89,1876,1871,
1871,92,19,61,8,1876,1871,
1876,52,28,65,76,1881,1876,
1876,97,72,25,63,1881,1876,
1876,30,74,34,46,1881,1876,
1876,66,26,68,35,1881,1876,
1876,71,55,14,3,1881,1876,
1881,80,27,4,38,1886,1881,
1881,17,7,87,58,1886,1881,
1881,23,59,13,42,1886,1881,
1881,32,9,86,91,1886,1881,
1881,40,84,88,37,1886,1881,
1886,62,43,16,67,1889,1886,
1886,33,11,54,18,1889,1886,
1886,36,73,24,45,1889,1886,
1886,5,70,47,41,1889,1886,
1886,60,2,39,21,1889,1886,
